NT12662 NT12662_477.gff.gz
NT12663 NT12663_532.gff.gz
NT12664 NT12664_631.gff.gz
NT12665 NT12665_519.gff.gz
NT12666 NT12666_420.gff.gz
NT12667 NT12667_470.gff.gz
NT12668 NT12668_458.gff.gz
NT12669 NT12669_476.gff.gz
NT12670 NT12670_620.gff.gz
NT12671 NT12671_437.gff.gz
NT12672 NT12672_416.gff.gz
NT12673 NT12673_592.gff.gz
NT12674 NT12674_491.gff.gz
NT12675 NT12675_431.gff.gz
NT12676 NT12676_421.gff.gz
NT12677 NT12677_479.gff.gz
NT12678 NT12678_457.gff.gz
NT12679 NT12679_546.gff.gz
NT12680 NT12680_558.gff.gz
NT12681 NT12681_495.gff.gz
NT12682 NT12682_539.gff.gz
NT12684 NT12684_430.gff.gz
NT12685 NT12685_537.gff.gz
NT12686 NT12686_602.gff.gz
NT12687 NT12687_426.gff.gz
NT12688 NT12688_607.gff.gz
NT12689 NT12689_483.gff.gz
NT12690 NT12690_541.gff.gz
NT12691 NT12691_633.gff.gz
NT12692 NT12692_591.gff.gz
NT12693 NT12693_527.gff.gz
NT12694 NT12694_523.gff.gz
NT12696 NT12696_446.gff.gz
NT12698 NT12698_557.gff.gz
NT12699 NT12699_582.gff.gz
NT12700 NT12700_462.gff.gz
NT12701 NT12701_540.gff.gz
NT12702 NT12702_608.gff.gz
NT12703 NT12703_554.gff.gz
NT12704 NT12704_20.gff.gz
NT12705 NT12705_21.gff.gz
NT12706 NT12706_618.gff.gz
NT12707 NT12707_624.gff.gz
NT12708 NT12708_514.gff.gz
NT12709 NT12709_640.gff.gz
NT12710 NT12710_447.gff.gz
NT12711 NT12711_593.gff.gz
NT12712 NT12712_448.gff.gz
NT12713 NT12713_596.gff.gz
NT12714 NT12714_569.gff.gz
NT12715 NT12715_525.gff.gz
NT12716 NT12716_408.gff.gz
NT12717 NT12717_574.gff.gz
NT12718 NT12718_502.gff.gz
NT12719 NT12719_556.gff.gz
NT12720 NT12720_467.gff.gz
NT12721 NT12721_449.gff.gz
NT12722 NT12722_418.gff.gz
NT12723 NT12723_435.gff.gz
NT12724 NT12724_555.gff.gz
NT12725 NT12725_492.gff.gz
NT12726 NT12726_451.gff.gz
NT12727 NT12727_626.gff.gz
NT12728 NT12728_486.gff.gz
NT12729 NT12729_463.gff.gz
NT12730 NT12730_517.gff.gz
NT12731 NT12731_547.gff.gz
NT12732 NT12732_469.gff.gz
NT12733 NT12733_496.gff.gz
NT12734 NT12734_648.gff.gz
NT12735 NT12735_641.gff.gz
NT12736 NT12736_577.gff.gz
NT12737 NT12737_423.gff.gz
NT12738 NT12738_424.gff.gz
NT12739 NT12739_518.gff.gz
NT12740 NT12740_482.gff.gz
NT12741 NT12741_585.gff.gz
NT12742 NT12742_563.gff.gz
NT12743 NT12743_568.gff.gz
NT12744 NT12744_587.gff.gz
NT12745 NT12745_645.gff.gz
NT12746 NT12746_445.gff.gz
NT12747 NT12747_507.gff.gz
NT12748 NT12748_601.gff.gz
NT12749 NT12749_414.gff.gz
NT12750 NT12750_571.gff.gz
NT12751 NT12751_438.gff.gz
NT12752 NT12752_561.gff.gz
NT12753 NT12753_639.gff.gz
NT12754 NT12754_604.gff.gz
NT12755 NT12755_428.gff.gz
NT12756 NT12756_412.gff.gz
NT12757 NT12757_442.gff.gz
NT12758 NT12758_656.gff.gz
NT12759 NT12759_655.gff.gz
NT12760 NT12760_425.gff.gz
NT12761 NT12761_456.gff.gz
NT12762 NT12762_472.gff.gz
NT12763 NT12763_452.gff.gz
NT12764 NT12764_544.gff.gz
NT12765 NT12765_613.gff.gz
NT12766 NT12766_548.gff.gz
NT12767 NT12767_606.gff.gz
NT12768 NT12768_622.gff.gz
NT12769 NT12769_503.gff.gz
NT12771 NT12771_614.gff.gz
NT12772 NT12772_575.gff.gz
NT12773 NT12773_439.gff.gz
NT12774 NT12774_515.gff.gz
NT12775 NT12775_600.gff.gz
NT12776 NT12776_498.gff.gz
NT12777 NT12777_621.gff.gz
NT12778 NT12778_493.gff.gz
NT12779 NT12779_552.gff.gz
NT12780 NT12780_436.gff.gz
NT12781 NT12781_429.gff.gz
NT12782 NT12782_651.gff.gz
NT12783 NT12783_650.gff.gz
NT12784 NT12784_455.gff.gz
NT12785 NT12785_553.gff.gz
NT12786 NT12786_510.gff.gz
NT12787 NT12787_637.gff.gz
NT12789 NT12789_526.gff.gz
NT12790 NT12790_441.gff.gz
NT12791 NT12791_444.gff.gz
NT12794 NT12794_586.gff.gz
NT12795 NT12795_478.gff.gz
NT12796 NT12796_484.gff.gz
NT12797 NT12797_422.gff.gz
NT12798 NT12798_576.gff.gz
NT12799 NT12799_473.gff.gz
NT12800 NT12800_545.gff.gz
NT12801 NT12801_533.gff.gz
NT12802 NT12802_599.gff.gz
NT12803 NT12803_468.gff.gz
NT12804 NT12804_489.gff.gz
NT12805 NT12805_528.gff.gz
NT12806 NT12806_646.gff.gz
NT12807 NT12807_643.gff.gz
NT12808 NT12808_524.gff.gz
NT12809 NT12809_494.gff.gz
NT12810 NT12810_549.gff.gz
NT12811 NT12811_464.gff.gz
NT12812 NT12812_560.gff.gz
NT12813 NT12813_461.gff.gz
NT12814 NT12814_623.gff.gz
NT12815 NT12815_504.gff.gz
NT12818 NT12818_535.gff.gz
NT12819 NT12819_536.gff.gz
NT12820 NT12820_653.gff.gz
NT12821 NT12821_609.gff.gz
NT12822 NT12822_551.gff.gz
NT12823 NT12823_630.gff.gz
NT12824 NT12824_454.gff.gz
NT12825 NT12825_434.gff.gz
NT12826 NT12826_590.gff.gz
NT12827 NT12827_499.gff.gz
NT12829 NT12829_406.gff.gz
NT12830 NT12830_658.gff.gz
NT12831 NT12831_647.gff.gz
NT12832 NT12832_440.gff.gz
NT12833 NT12833_615.gff.gz
NT12834 NT12834_403.gff.gz
NT12835 NT12835_415.gff.gz
NT12838 NT12838_565.gff.gz
NT12839 NT12839_636.gff.gz
NT12840 NT12840_506.gff.gz
NT12842 NT12842_570.gff.gz
NT12843 NT12843_567.gff.gz
NT12844 NT12844_497.gff.gz
NT12845 NT12845_581.gff.gz
NT12846 NT12846_654.gff.gz
NT12847 NT12847_652.gff.gz
NT12848 NT12848_521.gff.gz
NT12849 NT12849_642.gff.gz
NT12850 NT12850_589.gff.gz
NT12851 NT12851_644.gff.gz
NT12852 NT12852_632.gff.gz
NT12853 NT12853_531.gff.gz
NT12854 NT12854_410.gff.gz
NT12855 NT12855_588.gff.gz
NT12856 NT12856_625.gff.gz
NT12857 NT12857_538.gff.gz
NT12858 NT12858_487.gff.gz
NT12859 NT12859_534.gff.gz
NT12861 NT12861_635.gff.gz
NT12862 NT12862_634.gff.gz
NT12863 NT12863_612.gff.gz
NT12865 NT12865_657.gff.gz
NT12867 NT12867_475.gff.gz
NT12868 NT12868_511.gff.gz
NT12869 NT12869_530.gff.gz
NT12870 NT12870_628.gff.gz
NT12871 NT12871_550.gff.gz
NT12872 NT12872_413.gff.gz
NT12873 NT12873_432.gff.gz
NT12874 NT12874_619.gff.gz
NT12875 NT12875_404.gff.gz
NT12876 NT12876_572.gff.gz
NT12878 NT12878_459.gff.gz
NT12879 NT12879_649.gff.gz
NT12880 NT12880_542.gff.gz
NT12883 NT12883_417.gff.gz
NT12885 NT12885_594.gff.gz
